product_id,general_id,sku,product_name,price,size,color,description,image_list,instruction,category,product_url
66240112000TS0391,sixdo_66240112000TS0391,,White 3D Flower Tshirt,1496000.0,"{'XL', 'M', 'L', 'S'}",Trắng,"MÔ TẢ SẢN PHẨM

* Sản phẩm : Áo Ngắn Tay
* Chất liệu : Vải Dệt kim - thun


⚠️LƯU Ý

- Bảng size trên là bảng size chung mang tính chất tham khảo, tùy thuộc vào số đo cơ thể, form sản phẩm và chất liệu vải khác nhau sẽ có sự chênh lệch nhất định từ 1-2cm hoặc hơn.
- Màu sắc sản phẩm có thể sẽ chênh lệch thực tế một phần nhỏ, do ảnh hưởng về độ lệch màu của ánh sáng nhưng vẫn đảm bảo chất lượng.

CHÍNH SÁCH ĐỔI TRẢ
- SIXDO hỗ trợ đổi hàng trong vòng 06 ngày kể từ ngày nhận hàng đối với sản phẩm lỗi
- Quý khách mua hàng online vui lòng quay lại video quá trình mở sản phẩm để SIXDO có thể hỗ trợ quý khách nếu gặp vấn đề về đơn hàng.
- SIXDO không hỗ trợ đổi size đổi mẫu với các sản phẩm sale từ 50%.
- Liên hệ trực tiếp với SIXDO để được hỗ trợ tư vấn trong bất cứ quá trình mua hàng, thanh toán và giao hàng.
Hotline: 1800 66 50",,"""Knit Cotton (dệt kim- thun ) :
•    Để giữ được vải thun luôn bền đẹp, người dùng cần nắm được cách vệ sinh hiệu quả
•    Khi giặt nên sử dụng nước có nhiệt độ dưới 40 độ C để vải không bị co, dão.
•    Bảo quản sản phẩm dệt từ vải thun ở nơi thoáng mát, khô ráo.
•    Phân biệt chất liệu, màu sắc trang phục trước khi giặt vì vải thun rất dễ phai màu.
•    Nên ngâm vải trước khi giặt để đảm bảo sản phẩm được sạch sẽ, thơm tho.
•    Sử dụng chất tẩy nhẹ giúp gia tăng tuổi thọ cho sản phẩm.""",Áo phông,
66240205208BK0219,sixdo_66240205208BK0219,,Black Woven Mini Skirt,1496000.0,"{'XL', 'M', 'XXL', 'L', 'S'}",Đen,"MÔ TẢ SẢN PHẨM

* Sản phẩm : Chân Váy
* Chất liệu : Vải Dệt thoi


⚠️LƯU Ý

- Bảng size trên là bảng size chung mang tính chất tham khảo, tùy thuộc vào số đo cơ thể, form sản phẩm và chất liệu vải khác nhau sẽ có sự chênh lệch nhất định từ 1-2cm hoặc hơn.
- Màu sắc sản phẩm có thể sẽ chênh lệch thực tế một phần nhỏ, do ảnh hưởng về độ lệch màu của ánh sáng nhưng vẫn đảm bảo chất lượng.

CHÍNH SÁCH ĐỔI TRẢ
- SIXDO hỗ trợ đổi hàng trong vòng 06 ngày kể từ ngày nhận hàng đối với sản phẩm lỗi
- Quý khách mua hàng online vui lòng quay lại video quá trình mở sản phẩm để SIXDO có thể hỗ trợ quý khách nếu gặp vấn đề về đơn hàng.
- SIXDO không hỗ trợ đổi size đổi mẫu với các sản phẩm sale từ 50%.
- Liên hệ trực tiếp với SIXDO để được hỗ trợ tư vấn trong bất cứ quá trình mua hàng, thanh toán và giao hàng.
Hotline: 1800 66 50",,"""•     Không giặt tẩy bằng các chất tẩy rửa mạnh, không ngâm nước quá lâu
•     Việc giặt tẩy quá mạnh hoặc ngâm nước quá lâu có thể làm giảm độ co giãn của vải , gây ra sự biến dạng và làm hỏng chiếc váy. Do đó, hãy sử dụng các chất tẩy rửa nhẹ nhàng và giặt nhanh chóng để tránh hư hỏng sản phẩm.
•  Không nên ngâm và giặt chung với sản phẩm khác.
• Việc ngâm và giặt chung với các sản phẩm khác có thể gây ra sự phai màu và hư hỏng vải, vì vậy hãy giặt riêng cho từng sản phẩm.
•      Nên phơi quần áo trong bóng mát, không nên phơi dưới ánh nắng gắt quá lâu tránh mất màu, giòn và rút sợi vải.
• Ánh nắng mạnh có thể làm mất màu và làm giòn và rút sợi vải, do đó hãy phơi quần áo trong bóng mát, tránh ánh nắng mạnh.
•     Ủi sản phẩm ở nhiệt độ vừa phải.
•     Để giữ cho sản phẩm trông mới mẻ và không bị nhăn, bạn có thể ủi sản phẩm ở nhiệt độ vừa phải. Tránh sử dụng nhiệt độ quá cao để tránh làm hỏng vải.""",Chân váy,
66240300603TN1064,sixdo_66240300603TN1064,,Brown Sleeveless Silk Top,1496000.0,"{'XL', 'M', 'L', 'S'}",Nâu,"MÔ TẢ SẢN PHẨM

* Sản phẩm : Áo Sát Nách
* Chất liệu : Vải Lụa


⚠️LƯU Ý

- Bảng size trên là bảng size chung mang tính chất tham khảo, tùy thuộc vào số đo cơ thể, form sản phẩm và chất liệu vải khác nhau sẽ có sự chênh lệch nhất định từ 1-2cm hoặc hơn.
- Màu sắc sản phẩm có thể sẽ chênh lệch thực tế một phần nhỏ, do ảnh hưởng về độ lệch màu của ánh sáng nhưng vẫn đảm bảo chất lượng.

CHÍNH SÁCH ĐỔI TRẢ
- SIXDO hỗ trợ đổi hàng trong vòng 06 ngày kể từ ngày nhận hàng đối với sản phẩm lỗi
- Quý khách mua hàng online vui lòng quay lại video quá trình mở sản phẩm để SIXDO có thể hỗ trợ quý khách nếu gặp vấn đề về đơn hàng.
- SIXDO không hỗ trợ đổi size đổi mẫu với các sản phẩm sale từ 50%.
- Liên hệ trực tiếp với SIXDO để được hỗ trợ tư vấn trong bất cứ quá trình mua hàng, thanh toán và giao hàng.
Hotline: 1800 66 50",,"""Silk- Lụa + Chiffon + Tơ + Voan :
•    Hạn chế sử dụng chất tẩy trong quá trình vệ sinh.
•    Thay vì ngâm vải, hãy giặt trang phục ngay bước đầu tiên.
•    Không giặt vải bằng nước nóng. Nhiệt độ lý tưởng của nước là 40 độ F tương ứng 4.5 độ C.
•    Vải mỏng nên chỉ được bóp nhẹ và phơi khô tự nhiên. Để đẩy nhanh quá trình, có thể sử dụng máy sấy, quạt điện hoặc điều hòa ở chế độ nhẹ. 
•    Nếu chọn giặt máy, trang phục cần được lộn trái để tránh ảnh hưởng tới mặt ngoài. Có thể sử dụng túi giặt chuyên dụng giảm thiểu tối đa tác động của buồng xoay tới vải.
•    Sử dụng dấm chua hoặc baking soda để tẩy chất bẩn bám trên trang phục.
•    Cuộn vải chiffon vào khăn khô để ép nước ra thay vì vắt bằng tay.
•    Chọn nơi khô thoáng, sạch sẽ để phơi vải 
•    Không phơi trang phục dưới ánh nắng mặt trời gay gắt.
•    Giữ mặt vải luôn phẳng trong quá trình phơi để giữ được form dáng cho quần áo.
•    Không để vải ở gần vật sắc nhọn, tránh tình trạng vướng, mắc làm hỏng vải.""",Áo nữ,
66231204004BS2610,sixdo_66231204004BS2610,,Brown Taffeta Shorts,1296000.0,"{'XL', 'M', 'L', 'S'}",Brown,"MÔ TẢ SẢN PHẨM

* Sản phẩm : Quần Sooc
* Chất liệu : Vải Taffeta


⚠️LƯU Ý

- Bảng size trên là bảng size chung mang tính chất tham khảo, tùy thuộc vào số đo cơ thể, form sản phẩm và chất liệu vải khác nhau sẽ có sự chênh lệch nhất định từ 1-2cm hoặc hơn.
- Màu sắc sản phẩm có thể sẽ chênh lệch thực tế một phần nhỏ, do ảnh hưởng về độ lệch màu của ánh sáng nhưng vẫn đảm bảo chất lượng.

CHÍNH SÁCH ĐỔI TRẢ
- SIXDO hỗ trợ đổi hàng trong vòng 06 ngày kể từ ngày nhận hàng đối với sản phẩm lỗi
- Quý khách mua hàng online vui lòng quay lại video quá trình mở sản phẩm để SIXDO có thể hỗ trợ quý khách nếu gặp vấn đề về đơn hàng.
- SIXDO không hỗ trợ đổi size đổi mẫu với các sản phẩm sale từ 50%.
- Liên hệ trực tiếp với SIXDO để được hỗ trợ tư vấn trong bất cứ quá trình mua hàng, thanh toán và giao hàng.
Hotline: 1800 66 50",,"""Để giữ cho vải tafta bền đẹp lâu mà không làm hỏng chất liệu, bạn nên tuân thủ các hướng dẫn giặt và bảo quản sau:
•     Giặt khô hoặc giặt bằng nước lạnh. Đặc biệt, vải lụa taffeta luôn cần được giặt khô. Trong khi đó, vải taffeta tổng hợp có thể được giặt tại nhà.
•     Không dùng nước nóng vì sẽ khiến thuốc nhuộm vải ra màu.
•     Sử dụng chất tẩy rửa nhẹ nhàng.
•     Không vắt mạnh hoặc xoắn trang phục để tránh làm hỏng vải và form dáng.
•     Phơi đồ ở nơi thoáng gió, không có ánh nắng chiếu vào trực tiếp.
•     Sử dụng bàn là ở nhiệt độ thấp.
•     Không nên mặc trang phục tafta vào những ngày nắng nóng vì vải không có khả năng thấm hút mồ hôi.
• Vải không co giãn nên cần may hoặc mua chuẩn số đo cơ thể.""",Quần nữ,
66231205303TN1263,sixdo_66231205303TN1263,,White Sleeveless Organza Shirt,1396000.0,"{'XL', 'M', 'XXL', 'L', 'S'}",Xanh Trắng,"MÔ TẢ SẢN PHẨM

* Sản phẩm : Áo Sát Nách
* Chất liệu : Chất vải Tơ


⚠️LƯU Ý

- Bảng size trên là bảng size chung mang tính chất tham khảo, tùy thuộc vào số đo cơ thể, form sản phẩm và chất liệu vải khác nhau sẽ có sự chênh lệch nhất định từ 1-2cm hoặc hơn.
- Màu sắc sản phẩm có thể sẽ chênh lệch thực tế một phần nhỏ, do ảnh hưởng về độ lệch màu của ánh sáng nhưng vẫn đảm bảo chất lượng.

CHÍNH SÁCH ĐỔI TRẢ
- SIXDO hỗ trợ đổi hàng trong vòng 06 ngày kể từ ngày nhận hàng đối với sản phẩm lỗi
- Quý khách mua hàng online vui lòng quay lại video quá trình mở sản phẩm để SIXDO có thể hỗ trợ quý khách nếu gặp vấn đề về đơn hàng.
- SIXDO không hỗ trợ đổi size đổi mẫu với các sản phẩm sale từ 50%.
- Liên hệ trực tiếp với SIXDO để được hỗ trợ tư vấn trong bất cứ quá trình mua hàng, thanh toán và giao hàng.
Hotline: 1800 66 50",,"""Silk- Lụa + Chiffon + Tơ + Voan :
•    Hạn chế sử dụng chất tẩy trong quá trình vệ sinh.
•    Thay vì ngâm vải, hãy giặt trang phục ngay bước đầu tiên.
•    Không giặt vải bằng nước nóng. Nhiệt độ lý tưởng của nước là 40 độ F tương ứng 4.5 độ C.
•    Vải mỏng nên chỉ được bóp nhẹ và phơi khô tự nhiên. Để đẩy nhanh quá trình, có thể sử dụng máy sấy, quạt điện hoặc điều hòa ở chế độ nhẹ. 
•    Nếu chọn giặt máy, trang phục cần được lộn trái để tránh ảnh hưởng tới mặt ngoài. Có thể sử dụng túi giặt chuyên dụng giảm thiểu tối đa tác động của buồng xoay tới vải.
•    Sử dụng dấm chua hoặc baking soda để tẩy chất bẩn bám trên trang phục.
•    Cuộn vải chiffon vào khăn khô để ép nước ra thay vì vắt bằng tay.
•    Chọn nơi khô thoáng, sạch sẽ để phơi vải 
•    Không phơi trang phục dưới ánh nắng mặt trời gay gắt.
•    Giữ mặt vải luôn phẳng trong quá trình phơi để giữ được form dáng cho quần áo.
•    Không để vải ở gần vật sắc nhọn, tránh tình trạng vướng, mắc làm hỏng vải.""",Áo nữ,
66240107503TS1264,sixdo_66240107503TS1264,,Black 3D Flower Organza Shirt,1496000.0,"{'XL', 'M', 'XXL', 'L', 'S'}",Đen,"MÔ TẢ SẢN PHẨM

* Sản phẩm : Áo Ngắn Tay
* Chất liệu : Chất vải Tơ


⚠️LƯU Ý

- Bảng size trên là bảng size chung mang tính chất tham khảo, tùy thuộc vào số đo cơ thể, form sản phẩm và chất liệu vải khác nhau sẽ có sự chênh lệch nhất định từ 1-2cm hoặc hơn.
- Màu sắc sản phẩm có thể sẽ chênh lệch thực tế một phần nhỏ, do ảnh hưởng về độ lệch màu của ánh sáng nhưng vẫn đảm bảo chất lượng.

CHÍNH SÁCH ĐỔI TRẢ
- SIXDO hỗ trợ đổi hàng trong vòng 06 ngày kể từ ngày nhận hàng đối với sản phẩm lỗi
- Quý khách mua hàng online vui lòng quay lại video quá trình mở sản phẩm để SIXDO có thể hỗ trợ quý khách nếu gặp vấn đề về đơn hàng.
- SIXDO không hỗ trợ đổi size đổi mẫu với các sản phẩm sale từ 50%.
- Liên hệ trực tiếp với SIXDO để được hỗ trợ tư vấn trong bất cứ quá trình mua hàng, thanh toán và giao hàng.
Hotline: 1800 66 50",,"""Silk- Lụa + Chiffon + Tơ + Voan :
•    Hạn chế sử dụng chất tẩy trong quá trình vệ sinh.
•    Thay vì ngâm vải, hãy giặt trang phục ngay bước đầu tiên.
•    Không giặt vải bằng nước nóng. Nhiệt độ lý tưởng của nước là 40 độ F tương ứng 4.5 độ C.
•    Vải mỏng nên chỉ được bóp nhẹ và phơi khô tự nhiên. Để đẩy nhanh quá trình, có thể sử dụng máy sấy, quạt điện hoặc điều hòa ở chế độ nhẹ. 
•    Nếu chọn giặt máy, trang phục cần được lộn trái để tránh ảnh hưởng tới mặt ngoài. Có thể sử dụng túi giặt chuyên dụng giảm thiểu tối đa tác động của buồng xoay tới vải.
•    Sử dụng dấm chua hoặc baking soda để tẩy chất bẩn bám trên trang phục.
•    Cuộn vải chiffon vào khăn khô để ép nước ra thay vì vắt bằng tay.
•    Chọn nơi khô thoáng, sạch sẽ để phơi vải 
•    Không phơi trang phục dưới ánh nắng mặt trời gay gắt.
•    Giữ mặt vải luôn phẳng trong quá trình phơi để giữ được form dáng cho quần áo.
•    Không để vải ở gần vật sắc nhọn, tránh tình trạng vướng, mắc làm hỏng vải.""",Áo nữ,
66240111808BK0261,sixdo_66240111808BK0261,,3D Flower Woven Midi Skirt,1696000.0,"{'XL', 'M', 'L', 'S'}",Đen,"MÔ TẢ SẢN PHẨM

* Sản phẩm : Chân Váy
* Chất liệu : Vải Dệt thoi


⚠️LƯU Ý

- Bảng size trên là bảng size chung mang tính chất tham khảo, tùy thuộc vào số đo cơ thể, form sản phẩm và chất liệu vải khác nhau sẽ có sự chênh lệch nhất định từ 1-2cm hoặc hơn.
- Màu sắc sản phẩm có thể sẽ chênh lệch thực tế một phần nhỏ, do ảnh hưởng về độ lệch màu của ánh sáng nhưng vẫn đảm bảo chất lượng.

CHÍNH SÁCH ĐỔI TRẢ
- SIXDO hỗ trợ đổi hàng trong vòng 06 ngày kể từ ngày nhận hàng đối với sản phẩm lỗi
- Quý khách mua hàng online vui lòng quay lại video quá trình mở sản phẩm để SIXDO có thể hỗ trợ quý khách nếu gặp vấn đề về đơn hàng.
- SIXDO không hỗ trợ đổi size đổi mẫu với các sản phẩm sale từ 50%.
- Liên hệ trực tiếp với SIXDO để được hỗ trợ tư vấn trong bất cứ quá trình mua hàng, thanh toán và giao hàng.
Hotline: 1800 66 50",,"""•     Không giặt tẩy bằng các chất tẩy rửa mạnh, không ngâm nước quá lâu
•     Việc giặt tẩy quá mạnh hoặc ngâm nước quá lâu có thể làm giảm độ co giãn của vải , gây ra sự biến dạng và làm hỏng chiếc váy. Do đó, hãy sử dụng các chất tẩy rửa nhẹ nhàng và giặt nhanh chóng để tránh hư hỏng sản phẩm.
•  Không nên ngâm và giặt chung với sản phẩm khác.
• Việc ngâm và giặt chung với các sản phẩm khác có thể gây ra sự phai màu và hư hỏng vải, vì vậy hãy giặt riêng cho từng sản phẩm.
•      Nên phơi quần áo trong bóng mát, không nên phơi dưới ánh nắng gắt quá lâu tránh mất màu, giòn và rút sợi vải.
• Ánh nắng mạnh có thể làm mất màu và làm giòn và rút sợi vải, do đó hãy phơi quần áo trong bóng mát, tránh ánh nắng mạnh.
•     Ủi sản phẩm ở nhiệt độ vừa phải.
•     Để giữ cho sản phẩm trông mới mẻ và không bị nhăn, bạn có thể ủi sản phẩm ở nhiệt độ vừa phải. Tránh sử dụng nhiệt độ quá cao để tránh làm hỏng vải.""",Chân váy,
66240100408TS0264,sixdo_66240100408TS0264,,Salmon Woven Top With Flower,1696000.0,"{'XL', 'M', 'XXL', 'L', 'S'}",Đỏ cá hồi,"MÔ TẢ SẢN PHẨM

* Sản phẩm : Áo Ngắn Tay
* Chất liệu : Vải Dệt thoi


⚠️LƯU Ý

- Bảng size trên là bảng size chung mang tính chất tham khảo, tùy thuộc vào số đo cơ thể, form sản phẩm và chất liệu vải khác nhau sẽ có sự chênh lệch nhất định từ 1-2cm hoặc hơn.
- Màu sắc sản phẩm có thể sẽ chênh lệch thực tế một phần nhỏ, do ảnh hưởng về độ lệch màu của ánh sáng nhưng vẫn đảm bảo chất lượng.

CHÍNH SÁCH ĐỔI TRẢ
- SIXDO hỗ trợ đổi hàng trong vòng 06 ngày kể từ ngày nhận hàng đối với sản phẩm lỗi
- Quý khách mua hàng online vui lòng quay lại video quá trình mở sản phẩm để SIXDO có thể hỗ trợ quý khách nếu gặp vấn đề về đơn hàng.
- SIXDO không hỗ trợ đổi size đổi mẫu với các sản phẩm sale từ 50%.
- Liên hệ trực tiếp với SIXDO để được hỗ trợ tư vấn trong bất cứ quá trình mua hàng, thanh toán và giao hàng.
Hotline: 1800 66 50",,"""•     Không giặt tẩy bằng các chất tẩy rửa mạnh, không ngâm nước quá lâu
•     Việc giặt tẩy quá mạnh hoặc ngâm nước quá lâu có thể làm giảm độ co giãn của vải , gây ra sự biến dạng và làm hỏng chiếc váy. Do đó, hãy sử dụng các chất tẩy rửa nhẹ nhàng và giặt nhanh chóng để tránh hư hỏng sản phẩm.
•  Không nên ngâm và giặt chung với sản phẩm khác.
• Việc ngâm và giặt chung với các sản phẩm khác có thể gây ra sự phai màu và hư hỏng vải, vì vậy hãy giặt riêng cho từng sản phẩm.
•      Nên phơi quần áo trong bóng mát, không nên phơi dưới ánh nắng gắt quá lâu tránh mất màu, giòn và rút sợi vải.
• Ánh nắng mạnh có thể làm mất màu và làm giòn và rút sợi vải, do đó hãy phơi quần áo trong bóng mát, tránh ánh nắng mạnh.
•     Ủi sản phẩm ở nhiệt độ vừa phải.
•     Để giữ cho sản phẩm trông mới mẻ và không bị nhăn, bạn có thể ủi sản phẩm ở nhiệt độ vừa phải. Tránh sử dụng nhiệt độ quá cao để tránh làm hỏng vải.""",Áo nữ,
66240100508BK0264,sixdo_66240100508BK0264,,Salmon Woven Midi Skirt,1696000.0,"{'XL', 'M', 'XXL', 'L', 'S'}",Đỏ cá hồi,"MÔ TẢ SẢN PHẨM

* Sản phẩm : Chân Váy
* Chất liệu : Vải Dệt thoi


⚠️LƯU Ý

- Bảng size trên là bảng size chung mang tính chất tham khảo, tùy thuộc vào số đo cơ thể, form sản phẩm và chất liệu vải khác nhau sẽ có sự chênh lệch nhất định từ 1-2cm hoặc hơn.
- Màu sắc sản phẩm có thể sẽ chênh lệch thực tế một phần nhỏ, do ảnh hưởng về độ lệch màu của ánh sáng nhưng vẫn đảm bảo chất lượng.

CHÍNH SÁCH ĐỔI TRẢ
- SIXDO hỗ trợ đổi hàng trong vòng 06 ngày kể từ ngày nhận hàng đối với sản phẩm lỗi
- Quý khách mua hàng online vui lòng quay lại video quá trình mở sản phẩm để SIXDO có thể hỗ trợ quý khách nếu gặp vấn đề về đơn hàng.
- SIXDO không hỗ trợ đổi size đổi mẫu với các sản phẩm sale từ 50%.
- Liên hệ trực tiếp với SIXDO để được hỗ trợ tư vấn trong bất cứ quá trình mua hàng, thanh toán và giao hàng.
Hotline: 1800 66 50",,"""•     Không giặt tẩy bằng các chất tẩy rửa mạnh, không ngâm nước quá lâu
•     Việc giặt tẩy quá mạnh hoặc ngâm nước quá lâu có thể làm giảm độ co giãn của vải , gây ra sự biến dạng và làm hỏng chiếc váy. Do đó, hãy sử dụng các chất tẩy rửa nhẹ nhàng và giặt nhanh chóng để tránh hư hỏng sản phẩm.
•  Không nên ngâm và giặt chung với sản phẩm khác.
• Việc ngâm và giặt chung với các sản phẩm khác có thể gây ra sự phai màu và hư hỏng vải, vì vậy hãy giặt riêng cho từng sản phẩm.
•      Nên phơi quần áo trong bóng mát, không nên phơi dưới ánh nắng gắt quá lâu tránh mất màu, giòn và rút sợi vải.
• Ánh nắng mạnh có thể làm mất màu và làm giòn và rút sợi vải, do đó hãy phơi quần áo trong bóng mát, tránh ánh nắng mạnh.
•     Ủi sản phẩm ở nhiệt độ vừa phải.
•     Để giữ cho sản phẩm trông mới mẻ và không bị nhăn, bạn có thể ủi sản phẩm ở nhiệt độ vừa phải. Tránh sử dụng nhiệt độ quá cao để tránh làm hỏng vải.""",Chân váy,
66240209103TS2863,sixdo_66240209103TS2863,,Teak Tuytsi Top With Flower,1896000.0,"{'XL', 'M', 'L', 'S'}",Màu nâu gỗ,"MÔ TẢ SẢN PHẨM

* Sản phẩm : Áo Ngắn Tay
* Chất liệu : Vải Tuýt xi 


⚠️LƯU Ý

- Bảng size trên là bảng size chung mang tính chất tham khảo, tùy thuộc vào số đo cơ thể, form sản phẩm và chất liệu vải khác nhau sẽ có sự chênh lệch nhất định từ 1-2cm hoặc hơn.
- Màu sắc sản phẩm có thể sẽ chênh lệch thực tế một phần nhỏ, do ảnh hưởng về độ lệch màu của ánh sáng nhưng vẫn đảm bảo chất lượng.

CHÍNH SÁCH ĐỔI TRẢ
- SIXDO hỗ trợ đổi hàng trong vòng 06 ngày kể từ ngày nhận hàng đối với sản phẩm lỗi
- Quý khách mua hàng online vui lòng quay lại video quá trình mở sản phẩm để SIXDO có thể hỗ trợ quý khách nếu gặp vấn đề về đơn hàng.
- SIXDO không hỗ trợ đổi size đổi mẫu với các sản phẩm sale từ 50%.
- Liên hệ trực tiếp với SIXDO để được hỗ trợ tư vấn trong bất cứ quá trình mua hàng, thanh toán và giao hàng.
Hotline: 1800 66 50",,"""•     Không giặt tẩy bằng các chất tẩy rửa mạnh, không ngâm nước quá lâu
• Việc giặt tẩy quá mạnh hoặc ngâm nước quá lâu có thể làm giảm độ co giãn của vải Tuytsi, gây ra sự biến dạng và làm hỏng chiếc váy. Do đó, hãy sử dụng các chất tẩy rửa nhẹ nhàng và giặt nhanh chóng để tránh hư hỏng sản phẩm.
• Không nên ngâm và giặt chung với sản phẩm khác.
•     Việc ngâm và giặt chung với các sản phẩm khác có thể gây ra sự phai màu và hư hỏng vải, vì vậy hãy giặt riêng cho từng sản phẩm.
•      Nên phơi quần áo trong bóng mát, không nên phơi dưới ánh nắng gắt quá lâu tránh mất màu, giòn và rút sợi vải.
• Ánh nắng mạnh có thể làm mất màu và làm giòn và rút sợi vải, do đó hãy phơi quần áo trong bóng mát, tránh ánh nắng mạnh.
•     Ủi sản phẩm ở nhiệt độ vừa phải.
• Để giữ cho sản phẩm trông mới mẻ và không bị nhăn, bạn có thể ủi sản phẩm ở nhiệt độ vừa phải. Tránh sử dụng nhiệt độ quá cao để tránh làm hỏng vải Tuytsi.""",Áo nữ,
